platform,overall_score,cleanliness,comfort,location,service,facility,value_for_money,meal,free_wifi,amenities
Traveloka,9.2,9.0,8.8,9.5,8.9,9.4,,8.3,,
Traveloka,9.1,9.2,9.3,9.3,8.7,9.3,,8.9,,
Traveloka,9.2,9.3,9.2,9.8,8.9,8.7,,8.6,,
Traveloka,9.2,9.8,8.9,9.1,9.0,8.7,,8.4,,
Traveloka,9.2,9.3,8.7,9.4,8.9,9.2,,8.2,,
Traveloka,8.8,9.3,9.4,9.1,8.4,9.1,,8.3,,
Traveloka,9.1,9.2,9.3,8.9,9.4,8.9,,8.0,,
Traveloka,8.9,8.6,9.1,9.1,9.5,9.1,,8.6,,
Traveloka,9.4,9.2,9.7,9.3,9.3,9.6,,8.4,,
Traveloka,9.0,9.2,8.8,9.2,8.8,9.3,,8.3,,
Traveloka,9.6,9.9,8.6,9.1,9.0,8.8,,8.6,,
Traveloka,9.0,9.1,8.9,8.9,9.1,9.1,,8.7,,
Traveloka,9.0,9.3,9.1,9.3,9.3,8.9,,9.2,,
Traveloka,9.1,9.2,9.2,8.8,9.3,9.0,,8.1,,
Traveloka,9.1,8.8,9.0,9.5,8.9,9.0,,8.9,,
Traveloka,9.5,9.5,9.2,9.3,9.1,9.0,,8.9,,
Traveloka,9.0,9.4,8.7,8.9,9.2,8.7,,8.4,,
Traveloka,9.1,9.4,9.5,9.2,9.5,9.1,,8.7,,
Traveloka,9.2,8.9,9.1,9.1,9.3,8.9,,8.5,,
Traveloka,9.0,9.6,9.4,9.4,9.3,8.2,,8.7,,
Traveloka,9.2,8.8,9.2,9.7,9.1,9.7,,9.1,,
Traveloka,9.2,9.4,9.2,8.7,9.5,9.4,,8.8,,
Traveloka,9.4,9.9,9.3,9.3,9.2,9.0,,8.8,,
Traveloka,9.1,8.9,9.2,9.3,8.8,9.1,,8.5,,
Traveloka,9.1,9.0,9.3,9.5,9.5,8.7,,8.2,,
Traveloka,9.3,9.2,9.5,9.4,9.3,9.6,,8.5,,
Traveloka,9.2,9.0,9.2,9.1,9.0,9.7,,9.0,,
Traveloka,9.0,8.7,9.3,9.2,9.0,9.1,,8.1,,
Traveloka,9.2,9.2,9.1,9.1,9.2,9.4,,8.3,,
Traveloka,9.3,8.9,9.5,9.6,9.2,9.2,,8.6,,
Traveloka,9.3,9.3,8.9,9.3,9.2,8.7,,8.3,,
Traveloka,9.3,8.9,9.6,9.9,9.2,9.0,,8.4,,
Traveloka,9.5,9.7,9.1,9.3,9.6,9.1,,8.5,,
Traveloka,8.9,9.0,8.7,9.1,9.4,9.0,,8.2,,
Traveloka,9.0,9.1,9.1,8.8,9.2,9.0,,8.3,,
Traveloka,9.3,9.4,8.9,8.8,9.4,9.1,,8.8,,
Traveloka,9.0,8.8,9.4,8.8,8.8,9.1,,8.2,,
Traveloka,9.1,9.3,8.9,9.4,9.2,9.1,,8.1,,
Traveloka,9.3,9.6,9.0,9.5,9.6,8.8,,8.4,,
Traveloka,8.8,8.7,8.5,8.8,9.0,8.9,,8.8,,
Traveloka,9.2,9.3,9.0,9.6,8.8,8.7,,8.5,,
Traveloka,9.3,9.3,8.4,9.2,8.9,9.4,,8.5,,
Traveloka,8.9,9.4,8.6,9.3,8.8,8.5,,8.6,,
Traveloka,9.3,8.8,9.3,9.8,8.9,9.4,,8.1,,
Traveloka,9.2,8.8,9.3,9.6,9.0,9.5,,8.7,,
Traveloka,9.1,9.4,9.2,9.2,8.7,9.0,,8.7,,
Traveloka,8.9,9.3,8.8,9.0,9.1,8.3,,8.5,,
Traveloka,9.2,9.3,9.1,8.7,9.4,9.0,,8.9,,
Traveloka,9.1,9.3,9.1,9.1,8.8,9.1,,8.3,,
Traveloka,9.5,9.0,8.8,9.2,9.6,8.8,,8.9,,
Traveloka,9.0,9.3,9.6,9.0,9.3,8.9,,8.6,,
Traveloka,9.5,9.3,9.4,9.3,9.4,9.6,,8.5,,
Traveloka,9.0,9.0,9.0,9.3,8.9,9.3,,8.6,,
Traveloka,9.2,9.8,9.1,9.2,9.4,8.8,,8.6,,
Traveloka,9.0,9.3,9.2,9.1,8.8,8.6,,9.0,,
Traveloka,9.2,8.8,8.5,9.4,9.4,9.0,,8.3,,
Traveloka,9.7,9.4,9.0,9.4,9.2,9.0,,8.4,,
Traveloka,9.1,8.9,8.9,9.0,9.3,9.2,,8.9,,
Traveloka,9.0,9.4,8.8,9.7,8.7,8.9,,8.4,,
Traveloka,9.3,9.5,9.0,9.3,8.8,9.3,,8.9,,
Traveloka,9.0,9.0,9.6,9.3,9.3,9.7,,9.1,,
Traveloka,9.2,9.5,9.3,9.5,8.8,9.3,,8.5,,
Traveloka,9.3,9.3,8.9,9.4,9.2,9.1,,8.8,,
Traveloka,9.3,9.4,9.3,9.6,8.7,9.0,,8.3,,
Traveloka,9.6,9.8,9.5,9.4,9.4,9.0,,8.8,,
Traveloka,9.0,9.1,9.4,9.1,8.7,9.5,,8.7,,
Traveloka,9.1,9.0,9.1,9.4,9.3,8.9,,8.7,,
Traveloka,9.0,8.9,8.9,9.0,9.3,9.1,,8.4,,
Traveloka,8.9,9.0,9.3,9.3,8.9,9.1,,8.1,,
Traveloka,9.2,9.2,9.2,9.3,9.3,8.9,,8.8,,
Traveloka,8.9,9.3,9.4,9.2,9.2,8.7,,8.0,,
Traveloka,9.1,9.3,9.3,9.3,8.9,9.2,,8.5,,
Traveloka,8.9,9.4,9.4,8.7,8.8,9.1,,8.9,,
Traveloka,9.1,9.2,8.9,9.1,8.5,9.3,,8.7,,
Traveloka,9.5,9.6,9.5,9.3,9.2,8.9,,9.2,,
Traveloka,8.9,9.1,9.2,9.3,8.6,9.5,,8.9,,
Traveloka,9.0,10.0,9.7,9.0,9.1,8.8,,8.4,,
Traveloka,9.4,9.4,8.9,9.7,9.0,9.6,,8.6,,
Traveloka,9.0,8.9,9.6,9.0,9.3,8.6,,8.6,,
Traveloka,9.2,8.9,9.2,9.6,9.0,9.2,,8.1,,
Traveloka,9.1,9.3,8.9,9.4,9.0,9.2,,8.3,,
Traveloka,9.1,9.1,9.0,9.1,9.3,8.9,,8.4,,
Traveloka,9.4,9.4,9.0,9.8,9.2,9.2,,8.0,,
Traveloka,9.4,9.3,9.2,8.9,9.2,9.5,,8.6,,
Traveloka,8.8,9.2,9.3,9.6,9.2,8.4,,8.5,,
Traveloka,9.0,8.9,8.9,9.6,8.6,9.3,,8.1,,
Traveloka,8.9,8.7,9.1,9.1,9.3,8.4,,8.7,,
Traveloka,9.1,9.1,9.7,9.7,9.3,8.8,,8.8,,
Traveloka,9.5,9.5,9.6,9.2,8.8,9.6,,8.7,,
Traveloka,9.1,9.3,9.2,9.4,9.0,8.9,,8.5,,
Traveloka,9.0,8.8,9.1,9.4,9.1,8.7,,8.8,,
Traveloka,9.3,9.3,9.1,9.3,9.1,9.0,,8.8,,
Traveloka,9.3,9.3,9.3,9.5,9.2,9.7,,8.7,,
Traveloka,8.9,8.9,8.8,9.5,9.5,8.6,,8.4,,
Traveloka,9.0,9.2,9.0,8.8,9.4,8.8,,8.7,,
Traveloka,9.4,9.2,8.6,9.7,8.7,9.5,,9.0,,
Traveloka,9.1,8.9,9.2,8.8,9.3,9.7,,8.4,,
Traveloka,9.3,9.3,9.3,9.6,9.5,9.1,,9.2,,
Traveloka,9.4,9.4,9.0,9.6,9.2,8.7,,8.4,,
Traveloka,9.4,9.5,9.6,9.0,9.4,9.7,,8.6,,
Traveloka,9.4,9.5,8.7,9.2,9.7,9.6,,8.4,,
Traveloka,9.1,8.8,8.7,9.0,9.4,9.3,,8.7,,
Traveloka,9.2,8.9,9.2,9.2,9.2,8.9,,8.1,,
Traveloka,9.6,9.4,9.4,9.2,9.4,9.1,,8.4,,
Traveloka,9.4,9.4,9.6,9.5,9.1,9.1,,8.3,,
Traveloka,9.5,9.4,9.0,9.7,9.1,9.2,,8.6,,
Traveloka,9.5,10.0,9.4,9.7,9.0,9.5,,8.9,,
Traveloka,9.2,9.4,9.1,9.1,9.6,9.4,,8.8,,
Traveloka,9.1,9.5,9.0,9.2,8.9,8.8,,7.9,,
Traveloka,9.4,9.5,9.4,8.8,9.6,9.5,,9.2,,
Traveloka,9.1,9.4,9.3,9.1,9.2,9.2,,8.7,,
Traveloka,9.1,9.1,8.6,9.6,8.7,9.3,,8.4,,
Traveloka,9.5,9.4,9.5,9.8,9.2,9.5,,8.6,,
Traveloka,8.8,9.0,9.5,8.9,8.5,8.8,,8.7,,
Traveloka,9.2,9.1,8.9,9.1,9.3,9.1,,8.4,,
Traveloka,9.2,9.1,9.2,9.3,9.4,8.9,,8.7,,
Traveloka,9.0,9.2,9.2,9.4,8.9,8.6,,8.4,,
Traveloka,9.3,9.9,9.2,9.1,9.1,9.2,,8.5,,
Traveloka,9.2,8.6,8.9,9.4,9.7,9.9,,8.4,,
Traveloka,9.3,9.4,8.9,9.2,8.9,8.5,,8.2,,
Traveloka,9.0,8.7,9.1,9.3,8.8,9.1,,8.6,,
Traveloka,9.3,9.1,9.5,9.5,9.5,9.3,,8.8,,
Traveloka,9.3,9.5,9.3,9.3,9.7,9.1,,8.8,,
Traveloka,9.6,9.2,9.0,9.2,9.1,9.1,,8.8,,
Traveloka,8.9,8.9,9.3,9.3,9.4,8.7,,8.7,,
Traveloka,9.2,9.0,8.2,9.3,9.5,9.2,,8.4,,
Traveloka,9.2,9.4,9.4,9.2,8.9,8.9,,8.9,,
Traveloka,9.0,9.0,8.6,9.2,9.0,8.4,,8.2,,
Traveloka,9.7,9.3,9.0,9.8,9.5,9.5,,8.3,,
Traveloka,9.7,9.2,8.8,9.5,9.6,9.4,,8.3,,
Traveloka,9.2,9.0,8.7,9.2,9.3,9.1,,8.9,,
Traveloka,9.2,9.8,9.4,9.5,8.8,9.2,,8.9,,
Traveloka,9.4,9.4,9.0,9.2,9.7,9.4,,8.7,,
Traveloka,9.1,8.6,9.2,9.7,8.9,9.2,,8.9,,
Traveloka,9.6,9.3,9.1,9.4,9.0,9.4,,8.3,,
Traveloka,8.9,9.0,9.2,9.3,9.2,9.0,,8.7,,
Traveloka,9.7,9.5,9.1,9.4,9.6,9.5,,8.6,,
Traveloka,9.1,9.0,8.7,8.8,9.4,9.2,,8.9,,
Traveloka,9.3,9.2,9.4,9.0,9.2,9.2,,8.6,,
Traveloka,9.1,9.4,9.0,8.9,9.2,8.7,,8.5,,
Traveloka,9.2,9.5,8.6,9.3,9.1,9.2,,8.8,,
Traveloka,9.3,8.8,9.0,9.8,9.3,8.9,,8.9,,
Traveloka,9.1,9.1,9.6,10.0,8.3,8.9,,8.4,,
Traveloka,9.3,9.1,9.4,9.5,9.0,8.9,,8.6,,
Traveloka,9.1,9.0,9.0,9.5,9.2,8.8,,8.3,,
Traveloka,9.2,9.7,9.0,8.8,8.8,9.7,,7.9,,
Traveloka,9.0,9.3,9.0,9.1,9.2,9.5,,8.7,,
Traveloka,9.2,8.8,9.7,9.1,9.0,9.7,,8.8,,
Traveloka,9.3,9.5,9.2,9.1,9.6,8.7,,8.7,,
Traveloka,9.3,9.8,9.2,9.2,9.6,9.1,,8.0,,
Traveloka,9.0,9.5,9.4,9.2,9.0,8.7,,8.5,,
Traveloka,8.8,8.7,9.2,8.7,9.1,8.9,,7.9,,
Traveloka,8.9,9.1,9.0,9.5,9.1,8.8,,9.0,,
Traveloka,9.2,9.6,9.0,9.0,9.0,9.5,,8.3,,
Traveloka,9.0,9.0,9.1,9.4,9.2,9.0,,9.0,,
Traveloka,9.3,9.3,9.1,9.9,8.9,9.4,,8.9,,
Traveloka,9.0,9.4,9.3,9.0,8.8,9.3,,8.3,,
Traveloka,8.9,8.9,9.1,8.5,9.3,9.8,,8.3,,
Traveloka,9.4,9.2,9.3,9.2,9.3,8.7,,8.7,,
Traveloka,9.2,8.2,9.1,9.6,8.9,9.5,,8.3,,
Traveloka,9.3,8.9,9.1,9.9,9.4,9.4,,8.6,,
Traveloka,9.0,9.1,8.5,8.9,8.9,8.8,,8.5,,
Traveloka,9.2,8.8,9.4,9.4,9.2,9.4,,8.1,,
Traveloka,9.5,9.7,9.2,9.2,9.3,9.2,,7.9,,
Traveloka,8.9,8.8,9.4,9.3,9.1,9.0,,8.7,,
Traveloka,9.4,9.1,8.2,10.0,9.2,8.9,,8.4,,
Traveloka,8.9,9.2,9.7,8.8,8.9,8.9,,8.4,,
Traveloka,9.2,9.6,9.1,9.4,9.0,9.7,,8.8,,
Traveloka,9.2,8.8,9.4,9.4,9.0,9.1,,9.0,,
Traveloka,9.5,9.5,8.8,9.6,8.9,9.3,,8.5,,
Traveloka,9.5,9.2,9.3,9.3,9.0,8.9,,8.5,,
Traveloka,8.7,8.9,8.8,9.4,8.6,8.9,,8.8,,
Traveloka,9.3,9.3,8.9,9.2,9.0,9.4,,8.2,,
Traveloka,9.0,9.3,9.7,9.4,9.0,8.7,,8.7,,
Traveloka,9.2,9.0,9.0,9.2,9.0,9.0,,8.8,,
Traveloka,9.0,9.2,9.2,9.5,9.0,9.1,,8.8,,
Traveloka,8.9,9.1,9.4,9.2,9.1,9.1,,8.0,,
Traveloka,9.1,9.2,9.2,9.4,9.2,9.0,,8.4,,
Traveloka,9.3,9.4,9.1,9.3,9.4,9.2,,8.3,,
Traveloka,9.3,9.7,9.2,9.6,8.9,9.3,,8.6,,
Traveloka,9.1,8.8,9.8,9.3,8.7,9.3,,8.7,,
Traveloka,9.2,9.8,9.1,8.8,8.8,8.8,,9.0,,
Traveloka,9.1,8.6,9.2,9.7,9.0,9.0,,8.5,,
Traveloka,9.4,9.2,9.4,9.0,9.0,9.5,,8.5,,
Traveloka,9.3,9.4,9.4,9.1,8.9,9.4,,8.9,,
Traveloka,8.8,9.3,9.5,9.1,8.7,8.7,,8.7,,
Traveloka,9.4,9.0,9.3,9.7,9.0,9.2,,9.0,,
Traveloka,8.8,9.1,8.8,8.7,9.2,8.5,,8.7,,
Traveloka,9.5,9.1,9.6,10.0,9.3,9.1,,8.3,,
Traveloka,9.5,9.0,8.8,9.6,8.9,9.7,,8.2,,
Traveloka,9.3,9.5,9.2,9.4,9.0,8.8,,8.1,,
Traveloka,8.8,9.3,8.9,9.3,8.8,8.8,,8.8,,
Traveloka,9.0,9.0,9.1,9.4,9.1,9.3,,9.0,,
Traveloka,9.3,9.5,9.2,9.5,8.8,8.6,,9.2,,
Traveloka,9.2,9.3,9.2,9.5,9.3,8.9,,8.9,,
Traveloka,9.2,9.4,9.2,9.5,8.6,9.3,,8.9,,
Traveloka,9.3,9.4,9.6,9.3,9.0,8.9,,8.4,,
Traveloka,9.2,9.0,9.2,9.2,9.2,9.0,,8.3,,
Traveloka,9.2,9.0,9.0,9.3,9.2,9.3,,8.9,,
Traveloka,9.4,9.4,9.4,9.2,9.9,9.2,,8.7,,
Traveloka,9.3,9.4,9.5,9.6,9.2,9.2,,8.6,,
Traveloka,9.2,9.2,8.7,9.5,8.8,9.0,,8.7,,
Traveloka,9.1,9.2,9.3,8.4,9.1,9.2,,8.7,,
Traveloka,9.2,9.6,9.3,9.5,8.6,9.1,,9.0,,
Traveloka,9.3,9.0,9.0,9.4,9.1,9.2,,9.0,,
Traveloka,9.1,9.4,9.5,9.3,8.9,9.0,,8.8,,
Traveloka,9.1,9.1,9.1,9.2,9.4,9.0,,8.9,,
Traveloka,9.0,9.1,9.1,9.6,8.9,8.8,,8.8,,
Traveloka,9.2,9.5,9.0,9.6,9.1,9.1,,8.5,,
Traveloka,9.0,9.4,9.1,9.1,8.9,8.9,,8.8,,
Traveloka,9.5,9.4,8.8,9.4,9.6,8.8,,8.2,,
Traveloka,9.1,9.6,8.7,9.0,9.0,9.2,,8.9,,
Traveloka,9.3,9.2,9.6,8.9,9.6,9.2,,8.2,,
Traveloka,9.2,9.4,8.8,9.1,9.3,9.3,,8.7,,
Traveloka,9.2,9.1,8.8,9.6,9.2,9.0,,8.3,,
Traveloka,9.1,9.3,8.5,9.6,9.2,9.2,,8.8,,
Traveloka,9.3,9.2,8.9,9.5,9.2,9.3,,8.6,,
Traveloka,9.0,9.2,8.7,9.5,8.5,9.2,,8.1,,
Traveloka,9.3,9.4,9.6,9.5,9.0,8.9,,8.7,,
Traveloka,9.2,9.0,9.4,9.1,9.4,9.1,,8.4,,
Traveloka,9.2,9.8,8.9,9.4,9.1,9.2,,8.9,,
Traveloka,9.2,8.9,9.8,9.5,8.7,9.1,,8.6,,
Traveloka,9.0,8.8,9.4,9.5,9.1,8.5,,8.7,,
Traveloka,9.5,9.5,9.0,9.7,9.6,9.1,,8.3,,
Traveloka,9.5,9.4,8.4,9.5,9.5,9.8,,8.4,,
Traveloka,9.2,9.4,9.8,9.4,9.1,9.0,,8.5,,
Traveloka,9.4,9.4,8.7,9.6,9.4,8.9,,8.9,,
Traveloka,9.2,9.2,8.6,9.3,9.0,9.2,,9.1,,
Traveloka,8.6,8.9,9.4,9.0,8.6,9.2,,8.4,,
Traveloka,9.1,9.2,9.8,9.3,8.8,9.5,,8.9,,
Traveloka,9.1,9.0,9.5,9.1,9.6,8.7,,7.9,,
Traveloka,9.3,9.5,9.3,9.1,9.0,9.3,,8.2,,
Traveloka,9.4,9.2,9.3,9.3,9.0,9.3,,8.3,,
Traveloka,8.9,9.0,9.4,9.1,9.0,9.1,,8.2,,
Traveloka,9.2,9.1,9.3,9.2,9.7,9.2,,8.1,,
Traveloka,9.2,9.3,9.2,8.7,9.6,9.4,,8.7,,
Traveloka,9.3,9.0,9.1,9.4,9.8,9.4,,8.5,,
Traveloka,9.0,9.0,9.1,9.3,9.1,8.8,,8.7,,
Traveloka,9.3,9.3,8.9,9.1,9.2,9.3,,8.8,,
Traveloka,8.9,9.3,9.0,9.5,8.6,9.1,,8.7,,
Traveloka,9.4,9.0,8.6,9.6,9.5,9.1,,8.8,,
Traveloka,8.7,9.1,9.1,8.8,8.7,9.1,,8.6,,
Traveloka,9.1,9.3,8.8,9.1,9.2,9.1,,8.2,,
Traveloka,9.0,8.8,8.8,9.1,8.8,9.5,,8.9,,
Traveloka,9.2,8.8,9.2,9.0,8.9,9.1,,8.4,,
Traveloka,9.0,9.0,9.5,9.5,8.8,8.8,,8.3,,
Traveloka,8.7,9.1,9.4,9.2,8.9,9.0,,8.5,,
Traveloka,8.8,9.3,8.6,9.2,8.9,9.2,,8.3,,
Traveloka,9.2,9.6,8.8,8.7,8.9,9.5,,8.5,,
Traveloka,9.5,9.5,9.4,9.5,9.4,9.3,,8.7,,
Traveloka,9.0,9.2,8.8,8.9,8.8,8.8,,8.7,,
Traveloka,9.4,9.2,9.0,9.3,9.2,9.8,,8.3,,
Traveloka,9.4,8.9,9.3,9.4,9.5,9.2,,8.5,,
Traveloka,9.2,9.2,8.8,9.7,8.9,9.5,,8.9,,
Traveloka,9.1,9.1,9.1,8.9,8.9,9.1,,8.7,,
Traveloka,8.8,9.3,8.7,8.4,9.0,9.3,,9.2,,
Traveloka,9.2,9.0,8.9,9.4,9.5,9.4,,9.0,,
Traveloka,9.2,9.4,9.2,9.8,9.2,9.5,,8.9,,
Traveloka,9.4,9.7,8.6,9.7,8.9,9.4,,8.2,,
Traveloka,9.3,9.2,9.2,9.4,9.2,9.4,,8.8,,
Traveloka,9.1,9.3,9.1,9.2,8.8,9.0,,8.6,,
Traveloka,9.3,9.4,9.3,9.5,9.3,8.9,,8.4,,
Traveloka,9.0,9.1,9.2,9.0,9.2,9.2,,8.7,,
Traveloka,9.2,9.3,9.5,9.4,9.0,9.4,,8.9,,
Traveloka,8.9,9.2,9.1,9.5,8.8,9.0,,8.8,,
Traveloka,9.4,9.2,9.0,9.6,8.8,9.4,,8.3,,
Traveloka,9.4,9.0,9.1,10.0,9.3,9.5,,8.8,,
Traveloka,9.2,9.2,9.3,9.4,9.5,8.8,,8.4,,
Traveloka,9.3,9.3,9.1,9.1,8.9,8.8,,8.7,,
Traveloka,9.1,9.6,9.1,9.3,9.2,9.1,,8.5,,
Traveloka,8.8,9.5,8.9,8.8,8.5,9.2,,8.5,,
Traveloka,9.0,9.8,8.9,9.1,8.9,8.9,,8.8,,
Traveloka,9.2,9.0,8.7,9.2,9.1,9.5,,8.3,,
